Gene names	LFQ_Ctrl_U57_GC1_01_2070	LFQ_Ctrl_U57_GC1_01_2071	LFQ_Ctrl_U59_GC2_01_2072	LFQ_Ctrl_U59_GC2_01_2076	LFQ_Ctrl_U60_GA7_01_2029	LFQ_Ctrl_U60_GA7_01_2030	LFQ_Ctrl_U62_GA8_01_2031	LFQ_Ctrl_U62_GA8_01_2032	LFQ_Ctrl_U64_GC3_01_2078	LFQ_Ctrl_U64_GC3_01_2079	LFQ_Ctrl_U65_GB1_01_2033	LFQ_Ctrl_U65_GB1_01_2034	LFQ_Ctrl_U66_GB2_01_2035	LFQ_Ctrl_U66_GB2_01_2036	LFQ_Ctrl_U67_GC4_01_2081	LFQ_Ctrl_U67_GC4_01_2082	LFQ_Ctrl_U68_GC5_01_2083	LFQ_Ctrl_U68_GC5_01_2084	LFQ_Ctrl_U71_GB3_01_2037	LFQ_Ctrl_U71_GB3_01_2038	LFQ_HF.pEF_U10_GA3_01_2050	LFQ_HF.pEF_U10_GA3_01_2051	LFQ_HF.pEF_U11_GA4_01_2052	LFQ_HF.pEF_U11_GA4_01_2053	LFQ_HF.pEF_U16_GA6_01_2026	LFQ_HF.pEF_U16_GA6_01_2027	LFQ_HF.pEF_U2_GA2_01_2018	LFQ_HF.pEF_U2_GA2_01_2019	LFQ_HF.pEF_U24_GA5_01_2054	LFQ_HF.pEF_U24_GA5_01_2055	LFQ_HF.pEF_U4_GA3_01_2020	LFQ_HF.pEF_U4_GA3_01_2021	LFQ_HF.pEF_U5_GA2_01_2048	LFQ_HF.pEF_U5_GA2_01_2049	LFQ_HF.pEF_U8_GA4_01_2022	LFQ_HF.pEF_U8_GA4_01_2023	LFQ_HF.pEF_U9_GA5_01_2024	LFQ_HF.pEF_U9_GA5_01_2025	LFQ_HF.rEF_U30_GA6_01_2058	LFQ_HF.rEF_U30_GA6_01_2059	LFQ_HF.rEF_U34_GA7_01_2060	LFQ_HF.rEF_U34_GA7_01_2061	LFQ_HF.rEF_U37_GA8_01_2062	LFQ_HF.rEF_U37_GA8_01_2063	LFQ_HF.rEF_U39_GB4_01_2040	LFQ_HF.rEF_U39_GB4_01_2041	LFQ_HF.rEF_U42_GB5_01_2042	LFQ_HF.rEF_U42_GB5_01_2043	LFQ_HF.rEF_U46_GB1_01_2064	LFQ_HF.rEF_U46_GB1_01_2065	LFQ_HF.rEF_U48_GB2_01_2066	LFQ_HF.rEF_U48_GB2_01_2067	LFQ_HF.rEF_U53_GB5_01_2044	LFQ_HF.rEF_U53_GB5_01_2045	N: Peptides	N: Razor...unique.peptides	N: Unique.peptides	N: Sequence.coverage....	N: Unique...razor.sequence.coverage....	N: Unique.sequence.coverage....	N: Mol..weight..kDa.	N: Q.value	N: Score	N: Intensity	N: MS.MS.count	T: Protein.IDs	T: Majority.protein.IDs	T: Protein.names	T: Gene.names	T: id
THY1	20.1554	20.5147	16.1998	17.034	21.0278	20.1853	20.4032	19.8802	14.3802	14.6526	19.71	19.7633	15.6369	20.261	19.5524	19.0839	20.5105	20.4335	16.9174	13.677	14.5622	14.4965	16.0214	16.2114	21.2124	21.1827	13.253	13.5717	20.2943	19.5604	21.1067	21.2124	15.7726	17.8989	19.3269	18.4928	16.7333	16.4046	20.5147	19.7539	20.6031	20.6031	14.3313	15.9576	20.8348	20.4645	16.691	16.818	21.0897	21.1195	13.1669	13.3987	16.7734	14.811	2	2	2	15.8	15.8	15.8	16.927	0	66.46	81282000	107	"E9PIM6;E9PNQ8;P04216;J3QRJ3"	"E9PIM6;E9PNQ8;P04216;J3QRJ3"	Thy-1 membrane glycoprotein	THY1	442
F2	23.3097	23.6321	22.7151	23.8067	22.1059	24.1656	23.4394	23.3565	22.4749	22.2583	23.8717	23.8717	23.0395	23.0678	24.494	23.1863	22.9416	22.9416	22.9416	22.8424	23.9299	23.7235	21.5117	21.7012	22.3882	22.7791	23.6774	23.7235	23.2763	23.4394	23.1863	23.3972	23.6321	23.6774	23.6321	23.9824	22.6556	22.8788	23.7601	23.3565	23.6321	23.7601	23.4884	23.5312	24.0197	23.3565	22.9416	23.2763	22.409	22.2099	22.9416	22.911	23.2763	23.0083	20	20	17	38.9	38.9	34.9	70.036	0	323.31	3390500000	2825	"P00734;E9PIT3;C9JV37"	"P00734;E9PIT3;C9JV37"	"Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain"	F2	443
LAYN	13.3987	13.4568	15.1089	13.5241	15.737	11.9501	15.1852	16.7427	18.1403	15.0184	16.8991	16.9887	16.1443	14.8991	13.9402	17.9914	14.7918	17.4536	13.5717	15.737	13.3987	15.5716	15.2544	15.5716	14.1298	16.8547	17.7925	17.6895	19.4275	19.6451	16.2743	18.0069	14.8674	17.4292	13.677	16.5687	15.8644	15.8223	17.6747	17.9333	17.6593	17.5424	16.7333	16.5801	18.545	18.0887	16.8991	16.9472	16.7427	15.1852	16.8547	16.9744	16.2539	16.8991	3	3	3	26.9	26.9	26.9	15.088	0.0036199	5.5657	13228000	19	"E9PR90;E9PMI0;E9PQU7;Q6UX15-2;Q6UX15"	"E9PR90;E9PMI0;E9PQU7;Q6UX15-2;Q6UX15"	Layilin	LAYN	448
EFEMP2	18.7653	19.498	18.8195	18.4335	18.2596	18.4335	17.9827	18.7857	18.0231	17.5124	17.7187	17.8161	17.034	14.9167	16.7734	17.2478	13.7795	17.0428	18.6998	18.1757	18.1996	18.2441	16.09	14.7918	18.8849	16.9744	19.4275	19.2271	18.5667	18.3557	18.514	18.682	19.3689	19.3766	17.6593	17.4292	16.0335	17.3465	18.7857	18.8278	19.3597	19.3936	18.4335	18.4011	18.4335	18.2286	17.1924	17.6433	14.8492	15.7611	19.0768	18.9525	17.6087	17.1311	11	11	11	34.2	34.2	34.2	48.191	0	34.333	85962000	178	"E9PRU1;O95967;H0YET5;H0YEU0;E9PRQ8;E9PKA3;E9PI47;H0YCR9"	"E9PRU1;O95967"	EGF-containing fibulin-like extracellular matrix protein 2	EFEMP2	451
PDXK	16.6046	16.2539	17.7962	15.6141	16.5226	14.4045	17.534	16.5413	16.7734	16.9472	15.8972	15.4645	14.3039	15.7488	16.5875	16.3497	15.7856	15.7611	15.8493	16.0214	15.9457	15.9457	17.882	17.7273	15.7856	17.3574	15.038	12.8184	15.8972	15.1852	12.8184	17.0595	16.0214	13.0476	16.1998	16.2649	14.8309	15.2053	16.0335	15.5071	15.9319	15.436	14.1298	14.9625	14.0987	13.5241	16.2743	15.7726	16.5801	16.9289	14.1298	13.7232	15.6885	16.2854	2	2	2	14	14	14	30.638	0.0010571	8.4847	11042000	47	"F2Z2Y4;O00764-2;O00764;O00764-3"	"F2Z2Y4;O00764-2;O00764;O00764-3"	Pyridoxal kinase	PDXK	452
TALDO1	15.0928	16.3073	15.7611	15.7013	17.4744	16.2442	17.7018	15.9972	14.4765	18.6203	16.691	17.1112	18.3855	18.3711	19.0584	19.8329	17.6953	18.559	16.1998	17.0671	16.234	15.0928	20.5359	20.329	16.1547	17.9681	14.811	14.7337	14.9625	15.9759	16.1321	15.1852	15.9673	16.6832	12.9336	15.7013	17.1763	18.5667	17.9406	16.6433	15.6141	14.6063	15.3932	15.2053	17.6516	13.8293	19.3419	19.3269	18.8609	16.7033	15.7262	15.4778	19.3355	19.1629	4	4	4	14.8	14.8	14.8	35.328	0	46.39	42915000	57	"F2Z393;P37837-2;P37837"	"F2Z393;P37837-2;P37837"	Transaldolase	TALDO1	453
PTGR1	18.4335	18.4409	15.0585	15.436	17.55	16.6832	16.09	16.5315	17.9996	15.4074	15.9759	16.4362	16.234	16.7518	16.2442	15.737	15.9759	13.1669	17.2153	17.3969	17.1847	17.5592	18.3051	18.1606	17.5424	16.2442	16.5123	16.3955	16.9289	17.1489	15.9972	16.2442	16.9887	17.138	18.2676	17.6833	18.3132	18.4335	16.3718	15.9457	17.519	17.0858	16.5945	17.0952	16.4471	13.4568	15.9576	15.7856	15.5857	14.0397	18.3132	18.1927	16.0766	15.8352	5	5	5	33.7	33.7	33.7	32.729	0	23.659	30109000	59	"F2Z3J9;Q14914-2;Q14914;Q5JVP2"	"F2Z3J9;Q14914-2;Q14914"	Prostaglandin reductase 1	PTGR1	454
LSAMP	16.4046	18.1179	16.09	17.7354	15.8644	15.6001	16.0766	14.3313	18.9891	15.4645	15.2053	15.8096	17.6087	14.2694	15.7987	13.5717	16.0106	13.0476	16.0214	17.3185	15.4208	15.6141	14.1884	15.8972	14.5622	14.4765	17.7098	13.868	14.7536	17.7354	16.234	14.0726	17.0511	15.5308	13.7232	15.0184	13.1669	16.7427	18.1996	18.2202	18.2286	15.5203	17.3284	17.4818	18.0887	15.874	15.1221	13.677	16.7813	16.5509	18.2833	18.1321	16.0648	14.0987	4	4	4	22.9	22.9	22.9	31.741	0.00097847	6.7812	17903000	20	"F5H5G1;H3BLU2;Q13449;C9J5G3"	"F5H5G1;H3BLU2;Q13449"	Limbic system-associated membrane protein	LSAMP	463
ACVR1B	20.6264	20.4335	19.5881	17.8381	13.9753	19.8151	15.7262	16.3834	15.1221	14.6986	20.4335	20.3712	19.0421	19.6041	20.1448	19.384	18.6599	18.8529	18.869	18.6431	19.2446	19.3203	15.0184	15.1089	19.4735	19.4005	19.5604	19.7272	19.3504	19.3355	19.3766	19.5323	20.1214	20.1448	19.5143	19.5143	20.2242	20.0461	19.9732	19.6373	20.3088	20.3491	19.1629	19.2866	19.9521	19.9126	20.0461	19.9412	16.493	15.2893	15.4507	19.0421	19.9311	19.8151	2	2	2	43.7	43.7	43.7	8.1753	0	9.14	100470000	119	"F5H5Q2;P36896-5;P36896-2;P36896-3;P36896;P36896-4"	"F5H5Q2;P36896-5;P36896-2;P36896-3;P36896;P36896-4"	Activin receptor type-1B	ACVR1B	464
OLR1	20.0336	19.8151	20.3038	19.9412	14.8674	19.1109	19.6124	19.5881	18.845	18.588	19.9126	19.7873	18.574	18.1321	16.6252	18.7857	17.5424	13.677	18.559	18.514	19.3936	19.3033	17.6593	17.2577	18.812	18.812	18.4547	18.3626	19.6288	19.1476	18.9806	18.8767	16.9378	15.0029	19.9027	19.9126	17.6833	17.5682	19.3597	17.8989	20.216	20.3139	18.9447	19.0339	18.907	19.0918	17.7962	17.7657	18.845	18.9131	19.2525	19.1629	18.11	17.7273	5	5	5	36.9	36.9	36.9	24.468	0	16.881	72830000	97	"F5H7N8;P78380;F5H001;F5GZH1;P78380-2;P78380-3"	"F5H7N8;P78380"	"Oxidized low-density lipoprotein receptor 1;Oxidized low-density lipoprotein receptor 1, soluble form"	OLR1	467
TNC	18.2202	17.882	14.7918	16.6252	18.6508	17.2403	18.5526	18.4996	15.8352	18.9131	17.9333	18.6283	18.8609	17.0262	18.7063	18.6431	16.493	17.1015	17.9178	18.0887	19.5226	19.2179	17.5424	17.6953	19.2761	19.1176	17.6669	17.4744	17.4638	17.2003	18.1241	18.2371	18.7255	19.2179	18.419	18.2441	18.5526	19.3269	17.034	17.3097	18.0952	17.8076	18.7063	18.0147	19.7184	19.5323	18.154	18.4613	15.0928	15.151	17.4049	17.6895	17.8229	18.4682	14	14	14	14.6	14.6	14.6	201.14	0	90.806	87280000	148	"F5H7V9;J3QSU6;P24821-2;P24821-3;P24821-4;P24821;P24821-5;E9PC84;P24821-6;H0YGZ3"	"F5H7V9;J3QSU6;P24821-2;P24821-3;P24821-4;P24821;P24821-5;E9PC84;P24821-6;H0YGZ3"	Tenascin	TNC	468
MYL6	15.3789	15.0928	18.3359	18.2903	17.0511	16.8547	15.0029	17.489	17.4132	16.8639	16.0335	15.9576	17.0763	16.4046	17.8161	17.6253	17.5592	17.6315	16.966	16.8365	17.034	17.0167	19.506	19.1786	16.09	17.5682	15.7611	15.2544	13.5241	16.1208	15.5308	16.9472	14.8824	15.7856	15.3789	14.6294	15.8493	16.5945	13.3987	14.6063	16.7626	15.4778	14.3039	13.9402	16.8547	16.2963	17.2003	17.0262	13.1669	14.7155	14.8309	13.677	17.3828	17.2237	6	6	6	51.7	51.7	51.7	16.29	0	14.311	21730000	30	"F8W1R7;G3V1V0;P60660-2;P60660;J3KND3;G8JLA2;B7Z6Z4;G3V1Y7;F8VPF3;F8VZU9;F8W1I5;F8W180;A0A8Q3SIC5;P14649;A0A8Q3SI90"	"F8W1R7;G3V1V0;P60660-2;P60660;J3KND3;G8JLA2;B7Z6Z4;G3V1Y7;F8VPF3"	Myosin light polypeptide 6	MYL6	474
SDK1	15.346	16.7144	16.5315	15.346	16.5123	16.1321	15.8862	17.0074	18.2371	17.0262	15.7013	16.5687	14.4045	15.5593	16.2963	14.811	15.9457	15.2893	14.1884	15.5593	16.3611	16.2963	15.2375	15.1221	16.5593	16.7518	16.1321	16.234	15.7013	16.1321	16.4756	16.0766	14.5861	14.7724	16.2442	16.2539	15.8352	16.3497	17.2403	16.9472	17.2237	17.3284	15.2544	15.6885	16.1443	16.09	15.3789	15.8352	15.6248	14.6781	16.1547	15.9319	15.4074	15.6248	4	4	4	3.7	3.7	3.7	240	0	21.782	10730000	27	"F8W6X9;Q7Z5N4-3;Q7Z5N4;H7C255"	"F8W6X9;Q7Z5N4-3;Q7Z5N4"	Protein sidekick-1	SDK1	475
ESAM	21.5467	21.6233	19.1394	19.5226	21.1394	20.135	19.3355	19.5323	18.6508	18.8359	20.0903	20.1766	19.1786	19.4516	19.5143	19.4663	19.8241	19.7633	20.5776	20.5465	18.7947	18.7478	17.4441	16.9289	20.6534	20.667	20.667	20.7079	20.0903	20.135	20.6264	20.7963	21.1539	21.1539	18.1683	18.3498	19.2095	19.0421	21.0278	20.9325	20.329	20.3038	19.9412	19.9027	20.2713	20.216	19.9214	19.8906	18.0069	17.9494	20.7437	20.6264	19.9412	19.9823	7	7	7	33.6	33.6	33.6	41.176	0	276.04	227640000	613	"Q96AP7;F8WDW9;C9JIE7"	"Q96AP7;F8WDW9"	Endothelial cell-selective adhesion molecule	ESAM	478
IL18BP	18.0723	16.1208	15.9457	22.2583	16.234	20.7185	15.5203	17.3465	21.2495	20.3606	19.9823	20.0568	21.0427	20.5776	14.8492	18.2903	18.3051	16.8129	19.3203	15.9576	20.4972	20.0682	13.4568	19.6288	20.2943	20.261	19.2446	20.2059	21.1827	21.1697	16.8639	20.3491	17.7727	19.3504	21.9088	21.5467	16.8287	19.7959	20.0026	19.7873	20.0682	19.9126	18.11	15.0029	21.7867	21.1827	20.0336	15.9972	15.5308	16.1886	20.2837	20.9039	20.1113	19.9521	5	5	5	31.7	31.7	31.7	21.93	0	86.633	225780000	373	"G3V1C5;O95998;O95998-4;O95998-3"	"G3V1C5;O95998;O95998-4"	Interleukin-18-binding protein	IL18BP	480
LTBP2	20.4502	19.871	19.5143	18.7561	20.5359	19.6998	17.1311	18.3201	17.3284	13.6282	19.3504	18.0069	19.4663	18.7561	20.216	17.8895	17.4536	19.0507	18.3626	18.4613	19.5954	19.4181	17.2726	17.0262	18.7783	18.8278	19.7873	19.3419	20.4447	20.1656	19.1326	19.3121	20.5776	20.7317	18.893	19.0078	17.9996	19.8329	20.4032	19.9521	20.3944	20.1554	19.7272	19.4906	19.5881	19.1176	19.2586	18.5385	19.5881	19.4735	15.436	19.5604	18.545	18.514	14	14	14	10.7	10.7	10.7	190.28	0	36.832	111410000	169	"G3V3X5;Q14767;G3V511;H0YJ20"	"G3V3X5;Q14767;G3V511"	Latent-transforming growth factor beta-binding protein 2	LTBP2	483
FBLN5	21.2681	21.5717	20.2943	20.329	18.869	20.3712	19.0584	19.6796	20.1853	15.7262	20.4877	20.3382	19.506	19.8241	20.2521	19.5323	19.0678	19.1786	19.2866	19.4005	20.2343	20.3382	18.5967	18.0887	20.4143	16.7144	20.6031	20.8471	20.6031	20.4143	20.591	20.591	21.8643	21.8451	19.7798	19.2866	19.3419	18.7478	20.4775	20.6163	20.9325	20.963	19.7798	19.6202	19.5524	19.3504	20.667	20.779	19.0078	16.6252	20.7317	20.6947	20.6947	20.7185	10	10	8	24.6	24.6	18.1	50.18	0	323.31	155070000	289	"Q9UBX5;G3V4U0;G3XA98"	"Q9UBX5;G3V4U0;G3XA98"	Fibulin-5	FBLN5	485
PNP	16.3497	17.1587	17.8635	17.0262	17.2003	16.6537	17.7514	17.7888	15.9673	17.3574	15.8862	16.3955	16.6727	16.4846	16.9576	16.6252	17.8229	17.0167	17.4049	17.4132	17.1153	17.3574	18.0147	17.8895	15.4208	16.6648	16.9995	16.9744	15.1685	16.3073	17.1587	16.8718	13.4568	15.8972	18.1018	17.6366	17.2643	15.4645	16.8365	16.7033	15.0029	15.2053	15.9759	17.5682	17.2324	17.0428	15.2893	15.5308	14.4541	17.55	16.7144	13.1669	16.4262	15.7013	5	5	5	23.5	23.5	23.5	36.097	0.0010661	8.715	20999000	30	"G3V5M2;P00491;A0A8V8TL37;G3V2H3"	"G3V5M2;P00491;A0A8V8TL37"	Purine nucleoside phosphorylase	PNP	486
COMP	19.1923	19.0839	16.3955	16.3073	15.5593	19.8533	19.2761	19.4091	18.2833	17.6953	19.3419	19.3355	19.1476	19.0339	17.9556	18.5321	18.2202	18.741	18.3201	18.5385	18.9447	19.0159	17.1763	16.5509	20.2242	20.2242	19.6288	19.4181	19.2095	19.5881	19.5226	19.3766	19.8802	19.6288	18.6676	18.545	20.5776	20.4877	20.0903	19.7716	20.1943	20.2713	19.498	19.1176	19.2363	19.3121	19.6796	19.4516	17.2577	18.2833	18.6907	19.2095	19.4824	19.6124	13	13	11	36.7	36.7	32.7	79.696	0	93.409	157350000	166	"G3XAP6;P49747;P49747-2"	"G3XAP6;P49747;P49747-2"	Cartilage oligomeric matrix protein	COMP	488
IFNAR2	19.0584	19.0159	19.2271	16.9174	19.2866	18.9207	19.4275	19.6451	16.493	17.9068	18.0438	18.1241	18.3711	18.3557	18.7478	16.418	14.932	16.9744	17.831	17.55	18.252	18.252	15.038	17.3097	17.9827	18.545	18.7063	18.7947	18.8767	18.7783	18.0349	17.9767	18.5808	15.3789	18.514	18.4335	19.0839	18.8045	18.8195	18.4996	18.4477	18.3132	18.5526	16.616	18.6283	18.7783	17.6895	15.436	16.1208	15.6369	18.0887	18.0806	14.4765	15.0184	9	9	9	21.5	21.5	21.5	62.335	0	34.932	48724000	93	"H0Y3Z8;P48551;P48551-2;P48551-3;A0A804HI63;C9JM33;A0A1B0GU52;A0A1B0GTI5;C9JCU0;F8WDE1;C9K067;Q08334;H7C0Z5;H7C3V1;H7C176;F8WDX2;A0A804HLE8"	"H0Y3Z8;P48551;P48551-2;P48551-3;A0A804HI63"	Interferon alpha/beta receptor 2	IFNAR2	493
PSMA7	14.0397	14.3802	17.8707	17.8229	16.5413	15.1221	13.7795	15.6369	17.7098	17.0858	14.932	15.2893	17.0428	16.1657	16.3611	16.4262	16.8807	17.0262	15.9972	16.0648	15.7726	14.3313	16.8547	16.7144	14.0397	16.0573	16.2963	15.7856	15.2544	15.436	13.1669	16.8463	17.6953	14.7536	16.5687	14.1593	15.9673	13.9008	15.3179	13.253	14.0987	13.3142	14.1884	15.151	17.7273	15.8493	16.3405	16.4362	17.7962	17.6953	15.8493	14.2694	16.3177	16.493	2	2	1	15.5	15.5	8	21.103	0.0031746	4.0164	8065300	17	"H0Y586;O14818-2;O14818"	"H0Y586;O14818-2;O14818"	Proteasome subunit alpha type-7	PSMA7	497
CD44	22.98	22.6818	22.911	23.6774	19.3504	23.4394	24.2819	24.6781	21.9088	21.3197	23.148	23.4884	23.5312	23.4884	20.2837	23.5312	23.3097	23.4394	23.1863	23.1863	23.5809	23.5312	21.6419	21.4793	22.8424	22.8424	23.1052	23.2322	23.0083	23.2322	22.6168	22.7151	22.7151	22.6556	24.0865	23.0678	23.6774	23.3972	23.0083	21.198	22.911	22.5562	23.148	23.3097	25.2223	23.8067	23.3565	23.3097	23.0678	23.1052	23.1052	23.0678	23.0083	22.5562	6	6	6	9.6	9.6	9.6	81.537	0	266.4	1485800000	1330	"P16070;P16070-9;H0Y5E4;H0YCV9;P16070-8;P16070-7;H0YDW7;P16070-3;P16070-4;P16070-6;P16070-17;P16070-5;P16070-18;P16070-15;P16070-10;P16070-11;P16070-13;P16070-14;P16070-12;P16070-16;H0YDX6;H0Y2P0;H0YD13;H0YD17;E9PKC6;H0YEV3;H0YEU1;P16070-19;Q86UZ1;H0YD90;H0YF08"	"P16070;P16070-9;H0Y5E4;H0YCV9;P16070-8;P16070-7;H0YDW7;P16070-3;P16070-4;P16070-6;P16070-17;P16070-5;P16070-18;P16070-15;P16070-10;P16070-11;P16070-13;P16070-14;P16070-12;P16070-16;H0YDX6;H0Y2P0;H0YD13;H0YD17;E9PKC6"	CD44 antigen	CD44	498
MAN2B2	18.5385	18.7947	20.3606	19.9311	18.545	18.3941	20.4335	20.0568	14.7337	16.1657	19.2951	19.1176	20.0136	19.7873	18.8767	18.559	20.5672	20.667	18.9207	18.6907	21.2495	21.1394	19.7329	19.8426	19.1015	18.6907	18.1683	18.1757	19.1786	19.2525	18.8359	18.7177	17.9996	18.514	19.3355	18.7478	20.9951	20.8348	19.0678	19.9412	20.6947	20.7317	17.6895	18.0576	20.0251	19.8241	19.3766	18.9207	19.5686	19.3597	18.514	18.6431	19.0421	19.2363	13	13	13	18.5	18.5	18.5	107.51	0	41.085	112320000	162	"H0YA68;Q9Y2E5-2;Q9Y2E5;E9PCD7"	"H0YA68;Q9Y2E5-2;Q9Y2E5;E9PCD7"	"Alpha-mannosidase;Epididymis-specific alpha-mannosidase"	MAN2B2	502
HADHA	15.2893	16.2854	17.7657	17.6669	14.0987	16.0214	13.3142	15.5857	16.5593	15.7987	15.4645	15.038	14.2425	15.5857	16.6832	15.6731	16.1547	15.3329	17.5745	17.4204	15.6731	15.7488	16.3405	16.7734	14.811	15.7262	15.9972	16.0106	16.2854	14.5861	13.5717	14.5622	16.3834	14.3527	15.8644	15.9208	16.6433	16.0466	14.1593	15.5471	16.3718	14.1298	15.6141	15.491	14.0397	14.8824	15.2053	15.874	17.5264	15.7987	16.0466	14.932	15.1385	14.7918	10	10	10	23	23	23	86.371	0	21.265	16577000	23	"H0YFD6;P40939;A0A2R8Y4F5;A0A2R8YG21;A0A2R8Y688"	"H0YFD6;P40939;A0A2R8Y4F5;A0A2R8YG21"	"Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase"	HADHA	504
MSLN	16.9472	16.7734	18.5526	18.4409	16.8718	16.616	18.7177	18.6744	14.1593	17.0671	16.6648	16.1113	17.5424	17.8539	19.1552	18.5526	17.7438	17.7577	17.8989	18.4682	17.505	17.519	15.5203	16.7033	18.907	18.8045	18.5808	18.344	16.5413	14.9491	20.0336	19.8533	20.1943	20.5672	13.5241	15.5716	17.034	15.3179	18.2286	18.0576	18.2371	18.5385	18.2596	18.2055	19.8151	19.7539	17.0858	17.5997	15.9759	16.691	18.252	18.1757	17.2478	17.5264	6	6	6	21	21	21	37.561	0	9.4391	52446000	55	"H3BMA1;H3BUX1;Q13421-4;Q13421-3;Q13421-2;Q13421;H3BR90"	"H3BMA1;H3BUX1;Q13421-4;Q13421-3;Q13421-2;Q13421"	"Mesothelin;Megakaryocyte-potentiating factor;Mesothelin, cleaved form"	MSLN	507
RAB11A	15.874	18.0438	15.6248	15.8972	17.6833	18.0069	12.8184	16.8991	16.0214	17.5592	16.9472	16.8365	15.9972	16.1781	15.0928	18.0349	17.2478	17.4441	17.5901	17.4441	16.3718	16.5029	19.8533	19.2446	15.0732	17.4638	15.5308	14.5861	17.9996	18.0231	16.2963	17.0428	16.9289	14.5202	17.4744	17.3002	17.7018	15.0732	17.8229	13.3142	13.868	16.1321	16.418	16.5875	15.2893	16.8079	18.5321	18.5321	18.419	13.677	17.0671	17.0858	18.3498	17.489	6	6	5	40	40	34.8	17.668	0.0010309	7.9153	32958000	33	"H3BMH2;H3BSC1;P62491-2;Q15907-2;P62491;Q15907;B4DQU5"	"H3BMH2;H3BSC1;P62491-2;Q15907-2;P62491;Q15907"	"Ras-related protein Rab-11A;Ras-related protein Rab-11B"	"RAB11A;RAB11B"	508
HEXA	18.4682	18.6638	19.6892	19.5323	20.2521	19.4435	19.995	20.1853	19.3597	19.6998	18.2833	18.514	18.9653	18.8767	19.1629	18.3498	18.8849	18.7478	18.4547	18.3626	19.8151	19.8619	18.4335	18.4613	18.3498	18.3498	18.9653	18.9592	19.1629	19.3419	18.6203	18.5067	19.4586	19.1394	19.3766	19.0918	20.4972	20.4557	19.5323	19.5524	19.384	19.3269	19.5524	19.4516	19.7873	19.6202	18.2441	18.419	17.9178	18.4996	19.1706	19.1326	18.2964	18.3626	13	13	13	35.5	35.5	35.5	60.702	0	34.537	105040000	151	"P06865;H3BP20;H3BS10;A0A804HIQ5;A0A804HLJ5;A0A804HKX5;A0A804HIC8;A0A804HIU3;H3BTD4;H3BU85;A0A804HJ97;A0A087WUJ7;P06865-2;A0A804HK32;H3BQ04;H3BT62;H3BVH8;A0A804HIC7;A0A087WTY2;A0A804HJK0;H3BRP6"	"P06865;H3BP20;H3BS10;A0A804HIQ5;A0A804HLJ5;A0A804HKX5;A0A804HIC8;A0A804HIU3;H3BTD4;H3BU85"	"Beta-hexosaminidase subunit alpha;Beta-hexosaminidase"	HEXA	510
SPINT1	18.1606	18.0349	18.4547	15.1852	18.3201	18.4011	18.6203	17.8229	19.2446	19.0507	17.2577	17.6953	17.519	17.3904	18.0295	17.4132	16.4262	16.8991	17.3749	17.282	16.7891	16.7626	16.4046	17.3465	18.1403	18.154	17.846	17.8381	17.6953	17.7273	15.5857	13.7232	18.2833	18.2751	17.7577	17.6669	18.1834	17.1489	17.4818	17.3574	17.4744	17.6157	17.282	17.1195	18.154	18.0806	17.489	17.3002	12.6513	16.3497	17.583	17.8076	17.534	17.4132	10	10	10	23.3	23.3	23.3	52.373	0	11.127	37942000	63	"H3BVD9;O43278-2;O43278;H3BTQ8;H3BR01;H3BMB6;H3BSM2;H3BNW5"	"H3BVD9;O43278-2;O43278;H3BTQ8;H3BR01;H3BMB6"	Kunitz-type protease inhibitor 1	SPINT1	515
BTN2A1	14.0726	20.5465	19.2446	14.5622	15.0184	21.3655	19.9632	19.8906	19.506	17.9494	21.2124	21.0139	20.1766	19.6373	20.3823	19.8054	19.5954	19.6451	19.6124	20.0136	20.0026	14.6063	18.3201	17.8229	20.2521	14.6986	20.0026	20.4032	21.3816	21.3037	20.1656	20.1766	18.9131	19.0159	20.8722	20.6387	19.4435	19.8906	20.8471	20.0804	20.3382	20.0336	19.7427	20.0461	21.3655	21.3037	20.0568	20.2837	17.0595	15.9891	19.7329	20.0136	20.0804	20.5582	7	7	1	39.1	39.1	13.2	16.974	0	59.085	216240000	246	"H7BYC3;C9IY66;Q8WVV5-3;Q7KYR7-6;Q7KYR7-4;Q7KYR7;Q7KYR7-1;C9JNC3;Q7KYR7-5;C9JAJ6"	"H7BYC3;C9IY66;Q8WVV5-3;Q7KYR7-6;Q7KYR7-4;Q7KYR7;Q7KYR7-1;C9JNC3;Q7KYR7-5"	"Butyrophilin subfamily 2 member A2;Butyrophilin subfamily 2 member A1"	"BTN2A1;BTN2A2"	517
UMOD	16.3718	20.6801	17.2643	16.4471	14.1593	20.4335	17.4049	16.2539	16.7033	14.2694	21.8643	20.9482	19.6041	19.5686	16.3497	14.3527	20.9819	20.9482	21.6081	20.5147	19.4824	19.506	14.6526	14.3039	19.7716	15.0585	16.5875	17.2324	15.5593	21.4136	14.0987	16.0214	17.5124	14.1298	14.9625	19.6202	22.6818	13.1669	14.4284	14.7337	15.5857	14.0397	20.0682	20.0336	20.3944	21.198	24.0865	23.9824	17.282	16.6537	21.3816	21.2849	24.1241	24.0865	1	1	1	20.8	20.8	20.8	13.036	0	26.383	209970000	80	I3L1M3	I3L1M3		UMOD	523
